0.000000, -0.380730
0.020408, -0.368588
0.040816, -0.356725
0.061224, -0.345136
0.081633, -0.333815
0.102041, -0.322755
0.122449, -0.311950
0.142857, -0.301394
0.163265, -0.291080
0.183673, -0.281003
0.204082, -0.271155
0.224490, -0.261532
0.244898, -0.252125
0.265306, -0.242930
0.285714, -0.233940
0.306122, -0.225148
0.326531, -0.216549
0.346939, -0.208136
0.367347, -0.199902
0.387755, -0.191843
0.408163, -0.183950
0.428571, -0.176219
0.448980, -0.168642
0.469388, -0.161214
0.489796, -0.153928
0.510204, -0.146779
0.530612, -0.139759
0.551020, -0.132862
0.571429, -0.126083
0.591837, -0.119414
0.612245, -0.112851
0.632653, -0.106385
0.653061, -0.100012
0.673469, -0.093725
0.693878, -0.087517
0.714286, -0.081383
0.734694, -0.075316
0.755102, -0.069310
0.775510, -0.063358
0.795918, -0.057455
0.816327, -0.051593
0.836735, -0.045768
0.857143, -0.039972
0.877551, -0.034199
0.897959, -0.028443
0.918367, -0.022698
0.938776, -0.016957
0.959184, -0.011215
0.979592, -0.005465
1.000000, 0.000300
